<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
100625;311.22;313.3;307.55;308.68;27810150
110625;309.45;313.6;308.03;312;26270980
130625;313.29;313.39;309.53;310.2;13401660
140625;310.21;311.17;309.55;310.29;1445960
150625;310.97;311.4;309.74;310.09;1949530
160625;310.2;314.37;309.81;311.5;21320550
170625;311.62;314.93;310.5;313.56;23299910
180625;313.6;314.82;311.63;313.38;17594740
190625;313.5;316.45;312.14;312.46;30296920
200625;312.46;313.59;309.3;309.7;22034460
230625;310.71;311.44;308.04;310.17;15883280
240625;310.31;312.02;309;311.37;18991270
250625;311.6;314.29;311.57;313.78;20227180
260625;313.79;314.5;312.74;312.84;12960060
270625;313.31;315.5;313;315.18;19031620
280625;315.2;315.67;315.11;315.31;890790
290625;315.32;317.5;315.31;315.95;2641730
300625;315.95;317.7;314.6;316.15;26582520
010725;316.64;319.6;316.3;318.42;21878980
020725;318.96;319.85;317.41;319.43;20701250
030725;319.53;321.5;318.74;319.17;20286790
040725;318.85;321.41;317.5;319.44;17811390
050725;319.5;320.6;319.5;319.55;671870
060725;319.65;319.7;319.29;319.37;416040
070725;319.38;319.94;312.82;313.5;29913000
080725;313.34;315.31;309.6;309.71;25532140
090725;310.01;312.3;307.6;310.09;29871070
100725;310.77;315.07;310.5;314.01;23711960
110725;314.5;317.88;308.85;309.88;39276450
120725;310;311;310;310.2;873720
130725;310.5;310.91;308.8;309.44;1066040
140725;308.96;318.85;304.38;317.97;59042270
150725;318.16;320.43;316.6;319.99;40470270
160725;320;322;319.54;321.58;36861670
170725;321.26;329.23;321.19;327.05;91182020
180725;300.45;309.4;300.25;309;115982520
190725;309.69;313.91;309.59;312.42;9029970
200725;313.49;313.78;312.05;312.58;4921320
210725;312.99;314.56;309.31;310.4;44824260
220725;310.65;311.72;308.55;310.67;26942000
230725;311;314.49;310.78;313.08;37399400
240725;313.09;313.99;309.75;310.83;27841890
250725;310.86;311.76;306;308.93;50866870
260725;309.35;309.95;308.86;308.91;1339260
270725;308.86;309.15;308.12;308.83;1768030
280725;309.44;309.45;303.54;303.97;38627240
290725;304.77;308.26;303.05;305.26;30696940
300725;305.58;306.2;303.2;303.3;14499120
310725;303.9;305.79;302.81;304.95;19884770
010825;305.41;307.5;302.89;304.22;25320049
040825;305.3;308.12;304.5;307.95;28420639
050825;307.98;308.67;305.25;307.38;21486455
060825;307.51;312.96;303.33;310.22;59941194
070825;310.23;316.5;308.76;313.43;72068589
080825;314.66;317.98;312.6;317.97;34939213
110825;321.75;322.9;317.05;317.82;42213786
120825;318.16;318.99;316.6;318;18763803
130825;318.32;319.7;317.05;317.51;21125332
140825;317.62;319.2;314.81;318.73;26458386
150825;318.89;320.5;318.45;319.4;26069497
160825;316.86;316.88;310.03;315.17;10296497
170825;315.5;315.8;314.8;314.97;1902692
180825;315.06;319.89;314.3;318.38;35029143
190825;318.98;319.73;316.29;316.5;21834755
200825;316.53;317.51;313.02;314.17;18650993
210825;314.17;315.1;309.28;309.98;30810938
220825;310.14;312.49;309.75;312.05;15490678
230825;312.11;312.5;311.55;312.3;567839
240825;312.3;312.45;311.5;311.84;730827
250825;311.84;312.3;308.75;311.42;15297434
260825;311.3;314;310.5;311.79;11282272
270825;311.99;313.78;311.06;312.78;11687151
280825;313.03;314.5;310.12;310.82;20307465
290825;311.19;311.82;308.95;310.04;14851826
300825;309.99;310.54;309.71;309.92;780762
310825;309.92;311.24;309.92;310.99;1093718
010925;310.86;312.5;308.82;309.2;11035733
020925;309.19;310.1;307.05;308.44;17403266
030925;308.47;309.68;307.21;309.49;10479152
040925;309.62;310.8;307.5;308.74;12845736
050925;309.1;311.16;308.8;310.5;11645345
060925;310.5;310.9;310.1;310.13;654610
070925;310.13;311;310.13;310.69;734383
080925;310.44;313.26;310.31;312.83;16946837
090925;313;314.25;311.62;313.06;17113048
100925;313.63;313.63;309;309.76;19280818
110925;309.81;310.77;305.8;307.11;29434965
120925;307.5;308.72;302.53;303.5;39312689
130925;303.61;303.8;302.65;302.84;1279027
