epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
139,2930.2,0.92138,0.56345,1.09977,0.81252,0.73803,0.81352,0.45944,1.52427,0.88818,1.6787,0.000263978,0.000263978,0.000263978
140,2951.2,0.90473,0.557,1.09206,0.81481,0.75267,0.80584,0.45297,1.51938,0.91075,1.68229,0.000259854,0.000259854,0.000259854
141,2972.12,0.90911,0.56349,1.09513,0.79037,0.74066,0.79779,0.45116,1.5136,0.887,1.67504,0.000255731,0.000255731,0.000255731
142,2992.71,0.90976,0.56518,1.0951,0.82835,0.73328,0.80892,0.45264,1.52465,0.91401,1.67924,0.000251608,0.000251608,0.000251608
143,3013.61,0.88819,0.54267,1.08334,0.80098,0.75661,0.80274,0.45428,1.53131,0.90839,1.69771,0.000247484,0.000247484,0.000247484
144,3034.63,0.89789,0.55786,1.09388,0.78757,0.74985,0.80606,0.45386,1.52772,0.896,1.69669,0.000243361,0.000243361,0.000243361
145,3056.18,0.89892,0.5462,1.08734,0.7777,0.77371,0.80926,0.46569,1.50769,0.88188,1.68294,0.000239238,0.000239238,0.000239238
146,3076.97,0.89655,0.55513,1.08979,0.76886,0.75688,0.78234,0.45046,1.51518,0.88928,1.68358,0.000235114,0.000235114,0.000235114
147,3097.6,0.88714,0.53802,1.08435,0.79943,0.7342,0.77774,0.44622,1.51507,0.90061,1.67791,0.000230991,0.000230991,0.000230991
148,3118.25,0.87812,0.53859,1.07982,0.79383,0.7577,0.79646,0.45493,1.50553,0.88797,1.68299,0.000226868,0.000226868,0.000226868
149,3139.25,0.87383,0.53783,1.07901,0.83005,0.7249,0.80877,0.4579,1.52695,0.88722,1.72606,0.000222744,0.000222744,0.000222744
150,3160.63,0.86712,0.53108,1.07826,0.80267,0.72482,0.79215,0.44861,1.53327,0.90977,1.7147,0.000218621,0.000218621,0.000218621
151,3181.48,0.87508,0.53512,1.07312,0.78044,0.75749,0.78752,0.44848,1.51811,0.88395,1.68805,0.000214497,0.000214497,0.000214497
152,3202.48,0.8735,0.53278,1.07696,0.79888,0.72313,0.79059,0.45455,1.52833,0.8806,1.6871,0.000210374,0.000210374,0.000210374
153,3223.3,0.88027,0.54683,1.08212,0.75273,0.75513,0.78829,0.45534,1.51316,0.91168,1.67723,0.000206251,0.000206251,0.000206251
154,3244.07,0.87078,0.54399,1.07755,0.84451,0.71513,0.80343,0.45977,1.52905,0.88445,1.69843,0.000202127,0.000202127,0.000202127
155,3264.95,0.86481,0.52777,1.07193,0.78622,0.76462,0.81505,0.45874,1.52394,0.88475,1.69853,0.000198004,0.000198004,0.000198004
156,3286.3,0.86452,0.52859,1.07333,0.81269,0.73709,0.79881,0.45643,1.54318,0.88308,1.72353,0.000193881,0.000193881,0.000193881
157,3307.21,0.85987,0.52389,1.06324,0.79792,0.7481,0.78691,0.44649,1.54016,0.9,1.72067,0.000189757,0.000189757,0.000189757
158,3328.32,0.86616,0.52829,1.07165,0.80601,0.72544,0.77564,0.44135,1.53989,0.8811,1.71864,0.000185634,0.000185634,0.000185634
159,3349.21,0.84418,0.52347,1.06733,0.75108,0.76776,0.78048,0.44433,1.54403,0.88312,1.72505,0.000181511,0.000181511,0.000181511
160,3370.04,0.85746,0.52359,1.0661,0.83862,0.7259,0.78604,0.45151,1.53077,0.87227,1.71101,0.000177387,0.000177387,0.000177387
161,3390.75,0.85576,0.51911,1.06743,0.84602,0.70871,0.79005,0.44835,1.53922,0.90145,1.7216,0.000173264,0.000173264,0.000173264
162,3411.75,0.85409,0.51978,1.06214,0.79726,0.71481,0.76653,0.44423,1.53828,0.89181,1.71668,0.000169141,0.000169141,0.000169141
163,3432.63,0.84495,0.51061,1.06069,0.81699,0.74027,0.78554,0.45206,1.5289,0.89687,1.71313,0.000165017,0.000165017,0.000165017
164,3453.29,0.84171,0.51136,1.05673,0.79156,0.76767,0.78769,0.44662,1.54347,0.91521,1.74895,0.000160894,0.000160894,0.000160894
165,3474.21,0.84452,0.51101,1.06309,0.83888,0.74487,0.79142,0.45709,1.54036,0.91126,1.7398,0.000156771,0.000156771,0.000156771
166,3495.05,0.84261,0.5189,1.06153,0.8346,0.73005,0.78892,0.45851,1.51834,0.88638,1.71038,0.000152647,0.000152647,0.000152647
167,3516.08,0.84445,0.50913,1.06279,0.827,0.72869,0.7884,0.45382,1.54731,0.90564,1.74242,0.000148524,0.000148524,0.000148524
168,3536.82,0.81911,0.50151,1.05292,0.8005,0.73679,0.77826,0.44703,1.54013,0.88518,1.72914,0.000144401,0.000144401,0.000144401
169,3557.79,0.84533,0.51381,1.0662,0.82707,0.71015,0.78209,0.44997,1.54075,0.90625,1.73596,0.000140277,0.000140277,0.000140277
170,3578.73,0.82085,0.50158,1.05586,0.8284,0.71965,0.78547,0.44522,1.54446,0.92552,1.74218,0.000136154,0.000136154,0.000136154
171,3599.8,0.8276,0.49952,1.05172,0.79132,0.75777,0.79295,0.45305,1.54729,0.90472,1.75164,0.000132031,0.000132031,0.000132031
172,3620.91,0.81419,0.49029,1.04437,0.82477,0.72162,0.78852,0.44835,1.54836,0.89729,1.75547,0.000127907,0.000127907,0.000127907
173,3641.99,0.81697,0.49731,1.05113,0.79393,0.74689,0.78527,0.45019,1.55101,0.90595,1.75632,0.000123784,0.000123784,0.000123784
174,3662.95,0.82196,0.49707,1.05529,0.84346,0.71377,0.78851,0.45516,1.54359,0.88129,1.74702,0.00011966,0.00011966,0.00011966
175,3683.59,0.81408,0.49755,1.04744,0.81147,0.7366,0.78934,0.45731,1.52612,0.88439,1.72911,0.000115537,0.000115537,0.000115537
176,3704.51,0.81847,0.49562,1.05279,0.85215,0.71871,0.80043,0.46273,1.53971,0.89222,1.75132,0.000111414,0.000111414,0.000111414
177,3725.25,0.80766,0.48541,1.047,0.88027,0.71352,0.80277,0.46302,1.53588,0.90436,1.74768,0.00010729,0.00010729,0.00010729
178,3746.2,0.80412,0.48774,1.04631,0.83418,0.72448,0.80472,0.4623,1.53072,0.90486,1.74727,0.000103167,0.000103167,0.000103167
179,3767.15,0.80397,0.48612,1.04725,0.8418,0.71849,0.79971,0.4544,1.54982,0.90584,1.77496,9.90437e-05,9.90437e-05,9.90437e-05
180,3788.02,0.80563,0.48272,1.04407,0.8612,0.70756,0.80031,0.45565,1.55081,0.88854,1.77115,9.49203e-05,9.49203e-05,9.49203e-05
181,3808.9,0.80784,0.48715,1.04655,0.83141,0.73543,0.80547,0.45853,1.55491,0.88731,1.76897,9.0797e-05,9.0797e-05,9.0797e-05
182,3830.29,0.805,0.48493,1.04286,0.8733,0.71113,0.80838,0.4569,1.54789,0.89817,1.75571,8.66736e-05,8.66736e-05,8.66736e-05
