<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;1;251129;155400;304.15;304.15;304.02;304.02;1055
SBER;1;251129;155500;304.09;304.14;303.98;304.07;6448
SBER;1;251129;155600;304.03;304.03;303.94;304;5143
SBER;1;251129;155700;303.96;304.02;303.92;304;2734
SBER;1;251129;155800;304;304.01;304;304.01;108
SBER;1;251129;155900;304.01;304.01;304;304.01;475
SBER;1;251129;160000;304;304.01;303.95;304.01;78
SBER;1;251129;160100;304;304.01;303.9;304;12395
SBER;1;251129;160200;304;304;303.99;304;1072
SBER;1;251129;160300;304;304;303.99;303.99;554
SBER;1;251129;160400;304;304;303.99;303.99;789
SBER;1;251129;160500;303.98;303.99;303.9;303.91;3178
SBER;1;251129;160600;303.95;303.98;303.95;303.98;374
SBER;1;251129;160700;303.95;303.98;303.95;303.95;104
SBER;1;251129;160800;303.98;303.98;303.98;303.98;206
SBER;1;251129;160900;303.95;303.97;303.95;303.97;33
SBER;1;251129;161000;303.97;304;303.95;303.98;3912
SBER;1;251129;161100;303.98;304;303.98;304;347
SBER;1;251129;161200;303.98;304;303.98;304;470
SBER;1;251129;161300;304;304;303.9;303.91;9475
SBER;1;251129;161400;303.92;303.96;303.91;303.96;312
SBER;1;251129;161500;303.95;303.99;303.91;303.97;875
SBER;1;251129;161600;303.97;303.97;303.9;303.94;5849
SBER;1;251129;161700;303.94;303.95;303.91;303.92;29
SBER;1;251129;161800;303.92;303.92;303.91;303.92;175
SBER;1;251129;161900;303.92;303.92;303.91;303.91;92
SBER;1;251129;162000;303.92;303.96;303.91;303.93;601
SBER;1;251129;162100;303.93;303.97;303.93;303.94;28
SBER;1;251129;162200;303.94;303.97;303.94;303.94;63
SBER;1;251129;162300;303.92;304.09;303.92;304.05;8270
SBER;1;251129;162400;303.99;303.99;303.96;303.96;545
SBER;1;251129;162500;303.99;303.99;303.91;303.98;3087
SBER;1;251129;162600;303.98;303.98;303.89;303.9;3180
SBER;1;251129;162700;303.9;303.94;303.9;303.94;332
SBER;1;251129;162800;303.91;303.96;303.91;303.91;572
SBER;1;251129;162900;303.94;303.94;303.83;303.83;14437
SBER;1;251129;163000;303.91;303.91;303.81;303.9;8296
SBER;1;251129;163100;303.9;303.92;303.84;303.85;118
SBER;1;251129;163200;303.91;303.91;303.8;303.85;7666
SBER;1;251129;163300;303.85;303.86;303.85;303.86;49
SBER;1;251129;163400;303.82;303.83;303.82;303.83;6
SBER;1;251129;163500;303.83;303.89;303.83;303.89;45
SBER;1;251129;163600;303.89;303.89;303.86;303.89;250
SBER;1;251129;163700;303.86;303.89;303.85;303.85;567
SBER;1;251129;163800;303.85;303.91;303.85;303.9;422
SBER;1;251129;163900;303.89;303.94;303.89;303.91;2603
SBER;1;251129;164000;303.94;303.95;303.86;303.86;1019
SBER;1;251129;164100;303.86;303.9;303.85;303.85;136
SBER;1;251129;164200;303.88;303.9;303.88;303.9;56
SBER;1;251129;164300;303.9;303.9;303.89;303.9;84
SBER;1;251129;164400;303.9;303.9;303.89;303.9;301
SBER;1;251129;164500;303.9;303.9;303.85;303.85;3311
SBER;1;251129;164600;303.89;303.89;303.83;303.87;1110
SBER;1;251129;164700;303.87;303.9;303.87;303.9;1388
SBER;1;251129;164800;303.9;303.9;303.87;303.87;146
SBER;1;251129;164900;303.9;303.9;303.87;303.9;29
SBER;1;251129;165000;303.9;303.9;303.87;303.89;79
SBER;1;251129;165100;303.89;303.89;303.83;303.88;829
